级别	日期和时间	来源	事件 ID	任务类别
警告	2018/11/28 23:38:48	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:38:42	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:38:33	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:38:28	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:38:23	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:38:22	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:38:21	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:38:21	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:37:49	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:37:31	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:36:34	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:35:48	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:35:23	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:34:47	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:34:23	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:33:10	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:32:46	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:32:13	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:31:32	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
信息	2018/11/28 23:31:13	Microsoft-Windows-Kernel-General	16	无	已经清除配置单元 \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat 中的访问历史记录，更新 0 个项并创建 0 个已修改的页面。
警告	2018/11/28 23:29:11	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:28:13	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:28:09	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:27:44	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:27:32	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:27:28	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:25:58	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:24:37	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:23:46	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:22:12	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:21:15	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
警告	2018/11/28 23:19:57	Microsoft-Windows-WHEA-Logger	17	无	"出现已更正的硬件错误。

组件: PCI Express 根端口
错误源: 高级错误报告(PCI Express)

总线:设备:功能: 0x0:0x1C:0x4
供应商 ID:设备 ID: 0x8086:0x9D14
类代码: 0x30400

该项的详细信息视图包含进一步的信息。"
